tau,VACF
5.9999999999999795e-14,0.047851994762180071
5.9999999999999845e-14,0.14417861027581008
5.9999999999999896e-14,0.10143354460612451
5.9999999999999946e-14,0.15483758816563989
5.9999999999999972e-14,0.11314729943589004
5.9999999999999997e-14,0.18855462575221854
6.0000000000000009e-14,0.14383806588797618
6.0000000000000022e-14,0.11220026096454883
6.0000000000000035e-14,0.021935484864476648
6.0000000000000047e-14,0.045440464453225957
6.0000000000000148e-14,0.029847664353227974
6.0000000000000249e-14,0.029483343524310757
6.000000000000035e-14,0.043518450758672375
6.0000000000000451e-14,0.028519123120754539
6.0000000000000552e-14,0.028100757707051026
6.0000000000000653e-14,0.041306279710429293
6.0000000000000754e-14,0.026921887260229746
6.0000000000000855e-14,0.039338472294254481
6.0000000000000956e-14,0.025433224837398197
6.0000000000001057e-14,0.024694719264084907
6.0000000000001158e-14,0.035367235125167117
6.0000000000001259e-14,0.022166833433859789
6.000000000000136e-14,0.020643723187008901
6.0000000000001461e-14,0.033184269083573428
6.0000000000001562e-14,0.12535396941786772
6.0000000000001663e-14,0.020324289776643245
6.0000000000001764e-14,0.049303777049939358
6.0000000000001966e-14,0.0087738213155231157
6.0000000000002168e-14,0.096523661523838983
6.000000000000237e-14,0.12476554340625652
6.0000000000002572e-14,0.078442259042602824
6.0000000000002774e-14,0.089855822675886335
6.0000000000002976e-14,0.086426184724457067
6.0000000000003177e-14,0.08522391982791877
6.0000000000003379e-14,0.07367154858276441
6.0000000000003581e-14,0.081970606455649089
6.0000000000003783e-14,0.09494815825997481
6.0000000000003985e-14,0.076720773452412516
6.0000000000004187e-14,0.087413004294872865
6.0000000000004389e-14,0.072447111775474596
6.0000000000004591e-14,0.09082922210249969
6.0000000000004793e-14,0.06808034620459856
6.0000000000004995e-14,0.085779379775627329
6.0000000000005197e-14,0.075682920449401642
6.0000000000005399e-14,0.04746520079945566
6.0000000000005601e-14,0.011847017580009793
6.9999999999999803e-14,0.068640573099888372
6.9999999999999853e-14,0.098813747268977944
6.9999999999999904e-14,0.11607229426183024
6.9999999999999929e-14,0.01630304620451295
6.9999999999999954e-14,0.094369437864946143
6.9999999999999979e-14,0.10241170197800605
6.9999999999999992e-14,0.052488564162612786
7.0000000000000005e-14,0.24078092881868832
7.0000000000000017e-14,0.10622960118444767
7.000000000000003e-14,0.059153509260951406
7.0000000000000106e-14,0.025657668543711785
7.0000000000000207e-14,0.025284038432119026
7.0000000000000308e-14,0.037205933448887583
7.0000000000000409e-14,0.024304631998193719
7.000000000000051e-14,0.023884036838248971
7.000000000000061e-14,0.03498328540545742
7.0000000000000711e-14,0.022713287808561879
7.0000000000000812e-14,0.033048407271789614
7.0000000000000913e-14,0.021266006944877337
7.0000000000001014e-14,0.020561609321442589
7.0000000000001115e-14,0.029274204967178884
7.0000000000001216e-14,0.018227590623954845
7.0000000000001317e-14,0.016887998400863791
7.0000000000001418e-14,0.027377815917763615
7.000000000000162e-14,0.015518722107639582
7.0000000000001721e-14,0.15420191609155226
7.0000000000001923e-14,0.0094011216425988527
7.0000000000002125e-14,0.089235130065191182
7.0000000000002327e-14,0.084734227641603529
7.0000000000002529e-14,0.072805517893200319
7.0000000000002731e-14,0.080803907119608262
7.0000000000002933e-14,0.076496526551094762
7.0000000000003135e-14,0.075070265979915035
7.0000000000003337e-14,0.059078504352213464
7.0000000000003539e-14,0.076913612620405761
7.0000000000003741e-14,0.069147296151875981
7.0000000000003943e-14,0.078652611511419238
7.0000000000004145e-14,0.051259435940621226
7.0000000000004347e-14,0.084135179245508854
7.0000000000004548e-14,0.059689817440189107
7.000000000000475e-14,0.074085457911451616
7.0000000000004952e-14,0.04428800771184474
7.0000000000005154e-14,0.089926336996506762
7.0000000000005356e-14,0.029732041422871593
7.0000000000005558e-14,0.019168057370407818
